"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm9493",2.73422248265037e-11,0.452845252744507,0.914,0.783,4.39745001884659e-07,"0","Gm9493"
"Btg1",3.09901254634267e-11,0.54267466836371,0.859,0.725,4.98414187828292e-07,"0","Btg1"
"Rpl37",4.76990296025255e-11,0.274167284472111,0.995,0.966,7.67143493097418e-07,"0","Rpl37"
"Rps10",5.44198246294932e-11,0.396850110770191,0.99,0.903,8.75234039516139e-07,"0","Rps10"
"Rps11",1.11188546756072e-10,0.308857145412993,0.995,0.939,1.7882453974779e-06,"0","Rps11"
"Rpl23a",1.21375303349e-10,0.309471502848223,0.992,0.919,1.95207900376197e-06,"0","Rpl23a"
"Cd19",1.25067712580325e-10,0.914438719500968,0.285,0.063,2.01146402142936e-06,"0","Cd19"
"Eef1g",2.1601714194444e-10,0.475962972373732,0.756,0.663,3.47420369389242e-06,"0","Eef1g"
"Rpl18",2.4721568324373e-10,0.347386437230748,0.974,0.887,3.97596983360891e-06,"0","Rpl18"
"Fcrla",2.81193033233973e-10,0.856398032505098,0.267,0.061,4.52242755350199e-06,"0","Fcrla"
"Rpl10a",3.4629542356426e-10,0.429099139059528,0.959,0.829,5.569469297184e-06,"0","Rpl10a"
"Cd52",3.60109504456564e-10,0.374502432221086,0.917,0.702,5.79164116017492e-06,"0","Cd52"
"Gm11808",3.73069289085946e-10,0.517499694947249,0.838,0.738,6.00007337636928e-06,"0","Gm11808"
"Rps14",3.93094828917782e-10,0.263232022425012,0.999,0.954,6.3221441334847e-06,"0","Rps14"
"Tnfrsf13c",6.7953835774543e-10,0.942064319792774,0.278,0.052,1.09290154076197e-05,"0","Tnfrsf13c"
"Apobec3",7.31074659027427e-10,0.852947089083628,0.476,0.238,1.17578737411381e-05,"0","Apobec3"
"Rpl9-ps6",1.3869018919657e-09,0.431575061358907,0.878,0.811,2.23055431284843e-05,"0","Rpl9-ps6"
"Gm43291",1.91139456833662e-09,1.10390007810413,0.295,0.052,3.07409588425579e-05,"0","Gm43291"
"Ptma",2.33586520422811e-09,0.330568807867557,0.948,0.889,3.75677200796006e-05,"0","Ptma"
"Rps26",4.49029942615008e-09,0.449656343428547,0.918,0.818,7.22174856707718e-05,"0","Rps26"
"Rpl36a",6.46306553735338e-09,0.365276530556889,0.96,0.853,0.000103945483037254,"0","Rpl36a"
"Rhoh",6.63640844552244e-09,0.803293819952154,0.389,0.172,0.000106733357029337,"0","Rhoh"
"4930523C07Rik",6.80640117777263e-09,0.849087355391532,0.512,0.29,0.000109467350142117,"0","4930523C07Rik"
"Rps8",1.50969197876946e-08,0.294998011171068,0.994,0.924,0.000242803760945492,"0","Rps8"
"Gimap1",1.59696397130321e-08,0.728994877781452,0.488,0.257,0.000256839715504696,"0","Gimap1"
"Rpl27-ps3",2.12658203930187e-08,0.396241765185633,0.808,0.752,0.000342018189380919,"0","Rpl27-ps3"
"Bcl11a",3.78565501740374e-08,0.825941953312316,0.257,0.075,0.000608846896449043,"0","Bcl11a"
"Rpl27",4.51479945055137e-08,0.399245771234521,0.938,0.862,0.000726115195632178,"0","Rpl27"
"Smim14",5.22744574321412e-08,0.736219604659402,0.557,0.405,0.000840730098881127,"0","Smim14"
"Gm2000",6.53863410511e-08,0.440044410551753,0.843,0.737,0.00105160852312484,"0","Gm2000"
"Fcer2a",8.0718181308399e-08,1.0236237398054,0.296,0.052,0.00129819050998298,"0","Fcer2a"
"Pou2f2",9.21599598012054e-08,0.650086720585832,0.362,0.177,0.00148220863348279,"0","Pou2f2"
"Hmha1",1.39202874908194e-07,0.65572061649347,0.638,0.455,0.00223879983714848,"0","Hmha1"
"Eef1a1",1.3943781282836e-07,0.267038092537213,0.998,0.949,0.00224257834371852,"0","Eef1a1"
"Vpreb3",1.44300893955147e-07,0.977422758613053,0.301,0.082,0.00232079127748062,"0","Vpreb3"
