"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Carkd",1.31779941587803e-09,0.425826750761851,0.322,0.066,2.11941680055664e-05,"3","Carkd"
"Fdps",1.55251362323933e-09,0.467408124973254,0.257,0.039,2.49690766025582e-05,"3","Fdps"
"Cyhr1",1.89344035724404e-09,0.342475783885395,0.271,0.062,3.04522012655559e-05,"3","Cyhr1"
"Rab9",2.17049705430246e-09,0.55833726803361,0.392,0.071,3.49081041243465e-05,"3","Rab9"
"Atp13a3",2.29366975275813e-09,0.523858315200581,0.418,0.09,3.6889090633609e-05,"3","Atp13a3"
"Ralgapa2",2.38569309294589e-09,0.503457623565597,0.31,0.033,3.83691020138487e-05,"3","Ralgapa2"
"Bag11",2.53314628987194e-09,0.444310675958565,0.607,0.226,4.07405917800104e-05,"3","Bag1"
"Usp9x",2.66110816110236e-09,0.388728346857581,0.321,0.089,4.27986025550092e-05,"3","Usp9x"
"H6pd",2.71368455213912e-09,0.495445887081911,0.257,0.019,4.36441886520534e-05,"3","H6pd"
"Pbx1",3.54357486354153e-09,0.526289108942809,0.431,0.09,5.69913145303384e-05,"3","Pbx1"
"Agpat2",3.84295911747684e-09,0.363858818817785,0.254,0.05,6.18063114863799e-05,"3","Agpat2"
"Mpc12",4.17237496342296e-09,0.312464608113246,0.657,0.292,6.71043065367314e-05,"3","Mpc1"
"Eif4h",4.72068624124958e-09,0.461869799295435,0.578,0.221,7.59227968180171e-05,"3","Eif4h"
"Cox8a1",4.98879357063185e-09,0.26971266172536,0.965,0.729,8.0234766996472e-05,"3","Cox8a"
"Icam1",5.45797500761391e-09,0.488618589695307,0.392,0.078,8.77806120474545e-05,"3","Icam1"
"Il18r1",5.48438175436583e-09,0.331686707782022,0.26,0.05,8.82053117554657e-05,"3","Il18r1"
"Slc43a2",5.74673896672641e-09,0.47400768880804,0.293,0.056,9.24248028018609e-05,"3","Slc43a2"
"Car2",6.16074262739806e-09,0.380861074327935,0.3,0.051,9.9083223676443e-05,"3","Car2"
"Pcnt",6.94239913783944e-09,0.405710750235371,0.26,0.043,0.000111654605333872,"3","Pcnt"
"Dnajc31",8.09093412223932e-09,0.265925436729321,0.439,0.184,0.000130126493487975,"3","Dnajc3"
"Ogdh",8.27327348686065e-09,0.274569192060148,0.356,0.122,0.00013305905748918,"3","Ogdh"
"Herpud1",8.42886199257259e-09,0.447842529734584,0.471,0.144,0.000135561387426545,"3","Herpud1"
"Ubr1",9.00087795946469e-09,0.417772561901865,0.281,0.047,0.000144761120222071,"3","Ubr1"
"Fdx1",1.09354565608781e-08,0.546148810395184,0.431,0.086,0.000175874947868602,"3","Fdx1"
"Eif3b",1.24041325795638e-08,0.403515599477844,0.36,0.103,0.000199495664277125,"3","Eif3b"
"Plekhb2",1.41900908180854e-08,0.316532706219224,0.297,0.083,0.000228219230627268,"3","Plekhb2"
"Ctnna1",1.45125727580707e-08,0.271457733853621,0.392,0.12,0.000233405707668051,"3","Ctnna1"
"Cgnl1",1.50754857485231e-08,0.513902991247191,0.262,0.015,0.000242459037293497,"3","Cgnl1"
"Ptp4a1",1.57285324119834e-08,0.365228441774638,0.425,0.145,0.000252961986781929,"3","Ptp4a1"
"Tmem238",1.66421035120779e-08,0.458128588272965,0.283,0.047,0.000267654950784748,"3","Tmem238"
"Limch1",1.69731255954695e-08,0.265183212516574,0.276,0.041,0.000272978778951937,"3","Limch1"
"Oxct1",1.89729775466419e-08,0.419728779660766,0.329,0.088,0.000305142397882642,"3","Oxct1"
"Sgms1",1.96847694848288e-08,0.304498414264733,0.333,0.089,0.000316590147624502,"3","Sgms1"
"Dcaf11",1.97988616966208e-08,0.366296048711447,0.31,0.072,0.000318425092666752,"3","Dcaf11"
"S100a1",2.05928899007724e-08,0.460445431075987,0.456,0.132,0.000331195448274123,"3","S100a1"
"Sox4",2.06292995050857e-08,0.448848994632463,0.267,0.038,0.000331781023940294,"3","Sox4"
"Rpl213",2.07335351837012e-08,0.302401576036236,1,0.936,0.000333457446359466,"3","Rpl21"
