"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl36",1.37247432175385e-15,0.404818562442189,0.788,0.735,3.21845228451278e-11,"3","Rpl36"
"Rpl3",3.16775187171667e-15,0.460424250029954,0.685,0.6,7.4283781391756e-11,"3","Rpl3"
"Rps131",8.52120614308578e-15,0.547854298558566,0.698,0.586,1.99822284055362e-10,"3","Rps13"
"Rpl7",1.71061211809162e-14,0.40266408871614,0.719,0.654,4.01138541692486e-10,"3","Rpl7"
"Rpl341",2.20126338507766e-14,0.480244012313091,0.691,0.604,5.16196263800711e-10,"3","Rpl34"
"Rpl30",2.73113113552936e-14,0.48751880083118,0.728,0.629,6.40450251281635e-10,"3","Rpl30"
"Rpl171",5.74470079023865e-14,0.515824763819674,0.633,0.553,1.34713233531096e-09,"3","Rpl17"
"Rps251",1.31358015985519e-13,0.439898789726827,0.638,0.573,3.08034547486043e-09,"3","Rps25"
"Rpl391",7.35300314836626e-13,0.521180905704897,0.627,0.543,1.72427923829189e-08,"3","Rpl39"
"Rpl8",1.37541650176175e-12,0.392256964660296,0.758,0.708,3.2253516966313e-08,"3","Rpl8"
"Ddx5",1.43901582753952e-11,0.609337060530016,0.645,0.543,3.37449211558018e-07,"3","Ddx5"
"Rps27a",1.68286700029492e-11,0.39441077981651,0.708,0.626,3.94632311569158e-07,"3","Rps27a"
"Rpl14",1.80365222964256e-11,0.36889519492966,0.785,0.732,4.22956447851179e-07,"3","Rpl14"
"Rpl11",2.86976068317302e-11,0.383756158354515,0.786,0.72,6.72958880204073e-07,"3","Rpl11"
"Rpl18a1",6.28736350049279e-11,0.617827707039987,0.598,0.549,1.47438674086556e-06,"3","Rpl18a"
"Rps21",1.94262304196975e-10,0.397049335227007,0.714,0.67,4.55545103341906e-06,"3","Rps21"
"Rps22",2.47726538358222e-10,0.465687995174976,0.706,0.638,5.80918732450031e-06,"3","Rps2"
"Rps4x1",3.55727842657798e-10,0.481902162891482,0.587,0.511,8.34181791032536e-06,"3","Rps4x"
"Rps281",3.93128339429203e-10,0.372677364348418,0.673,0.635,9.2188595596148e-06,"3","Rps28"
"Rpl35a1",7.91322306933141e-10,0.369169082362462,0.609,0.567,1.85565080975822e-05,"3","Rpl35a"
"Rpl18",8.43398787538303e-10,0.450647495038908,0.682,0.629,1.97777015677732e-05,"3","Rpl18"
"H2-K11",1.31988880065397e-09,0.388091970490408,0.665,0.603,3.09513923753357e-05,"3","H2-K1"
"Rplp11",1.47655421920222e-09,0.272463796154577,0.836,0.811,3.4625196440292e-05,"3","Rplp1"
"Rplp01",1.78230844717218e-09,0.305460414058455,0.706,0.674,4.17951330861876e-05,"3","Rplp0"
"Rplp21",1.97615349628782e-09,0.420998803049868,0.729,0.676,4.63407994879494e-05,"3","Rplp2"
"Rpl321",2.17704132744442e-09,0.47065543479723,0.637,0.595,5.10516191285717e-05,"3","Rpl32"
"Eef1a11",2.61491704056072e-09,0.402338439847451,0.636,0.579,6.13198046011488e-05,"3","Eef1a1"
"Rpl23",2.95833907424464e-09,0.327193615202831,0.682,0.662,6.93730512910368e-05,"3","Rpl23"
"Rpl221",3.85330877535842e-09,0.46780043582945,0.606,0.525,9.03600907821549e-05,"3","Rpl22"
"Rpl381",4.15358505345459e-09,0.367913618965188,0.721,0.694,9.740156950351e-05,"3","Rpl38"
"Rpl36a1",4.57666935148403e-09,0.442618469183057,0.555,0.495,0.0001073228962923,"3","Rpl36a"
"Tmsb101",4.58747591977958e-09,0.275903950918303,0.792,0.639,0.000107576310318831,"3","Tmsb10"
"Rpl191",5.60487351158637e-08,0.458061981790926,0.645,0.589,0.001314342838467,"3","Rpl19"
"Rps8",8.58745898174599e-08,0.351513670751086,0.636,0.616,0.00201375913121944,"3","Rps8"
"Rpl10a",2.00176432823981e-07,0.492148667986501,0.51,0.433,0.00469413734972236,"3","Rpl10a"
"Sub1",2.84165841738351e-07,0.543869035956269,0.504,0.404,0.00666368898876434,"3","Sub1"
"Rpl271",4.54486738649634e-07,0.475306009263425,0.561,0.517,0.0106577140213339,"3","Rpl27"
"Rpl21",1.6117016078874e-06,0.310647986759213,0.721,0.719,0.0377944027049596,"3","Rpl21"
"Rps12",3.46556014337742e-06,0.334207022677913,0.63,0.629,0.0812673853622004,"3","Rps12"
"H2-D11",7.83794929785395e-06,0.295206909464717,0.645,0.595,0.183799911034675,"3","H2-D1"
"Rpl15",1.07761679623947e-05,0.591603911876948,0.51,0.406,0.252701138718155,"3","Rpl15"
"Ptma",3.10067000849133e-05,0.263415518813393,0.565,0.548,0.727107116991218,"3","Ptma"
"Rpl31",5.56035017010025e-05,0.320915311670328,0.634,0.607,1,"3","Rpl31"
"Sh3bgrl31",0.000290730771278734,0.281608684376801,0.529,0.458,1,"3","Sh3bgrl3"
"Rps17",0.000302986962092137,0.311534926170596,0.543,0.542,1,"3","Rps17"
"Rpl41",0.00113141688878644,0.262275193063661,0.586,0.617,1,"3","Rpl41"
"Chil3",7.48421520912518e-157,3.70253181016657,0.943,0.08,1.75504846653985e-152,"4","Chil3"
"Ccl6",1.0049952273767e-119,2.44532516875821,0.878,0.172,2.35671380819836e-115,"4","Ccl6"
"Cd9",1.06599718641572e-115,1.89852519109131,0.909,0.321,2.49976340214485e-111,"4","Cd9"
"Ear2",5.07905684512037e-110,2.4449970811761,0.79,0.087,1.19103883018073e-105,"4","Ear2"
"Ctsd",1.76184158185745e-99,1.78252193709679,0.875,0.265,4.13151850945573e-95,"4","Ctsd"
"Ctss",1.85693951994805e-96,1.69730527651044,0.853,0.246,4.35452317427818e-92,"4","Ctss"
"Lpl",3.08055053005836e-90,2.04411209241304,0.694,0.097,7.22389099298686e-86,"4","Lpl"
"Ear1",1.42780853365872e-79,2.37099076323431,0.58,0.022,3.3482110114297e-75,"4","Ear1"
"Lgals3",5.96058094759928e-72,1.4602039188403,0.827,0.311,1.39775623221203e-67,"4","Lgals3"
"Plet1",1.25330528830709e-71,2.15892772264603,0.536,0.026,2.93900090108012e-67,"4","Plet1"
"Vim",8.45410336286588e-70,1.45005606275291,0.751,0.216,1.98248723859205e-65,"4","Vim"
"Fth1",4.69997206771153e-69,1.6472967410113,0.769,0.317,1.10214344987835e-64,"4","Fth1"
"Laptm5",2.86602949964029e-62,1.21083757889153,0.762,0.234,6.72083917665649e-58,"4","Laptm5"
"Mt1",4.69368392832946e-60,1.37062534390597,0.739,0.298,1.10066888119326e-55,"4","Mt1"
"Ftl1",1.56455512211748e-56,1.51279931120377,0.695,0.342,3.66888176136548e-52,"4","Ftl1"
"Cd68",7.62096692246496e-55,1.44816407490593,0.524,0.088,1.78711674331803e-50,"4","Cd68"
"Wfdc21",8.49807505989968e-55,1.69746947650663,0.533,0.053,1.99279860154647e-50,"4","Wfdc21"
"Plin2",4.59475203731917e-49,1.46741122465302,0.549,0.115,1.07746935275134e-44,"4","Plin2"
"Cd44",1.64891363524381e-48,1.31300709472089,0.565,0.134,3.86670247464674e-44,"4","Cd44"
"Tmsb4x2",4.34369363780412e-42,0.62525557505194,0.912,0.703,1.01859615806507e-37,"4","Tmsb4x"
"Tyrobp1",7.80249193449136e-42,0.785051386690503,0.878,0.412,1.82968435863822e-37,"4","Tyrobp"
"Anxa2",1.00909999511745e-41,1.01312254679775,0.746,0.388,2.36633948855042e-37,"4","Anxa2"
"Actb1",4.96787843821357e-35,0.679571223261298,0.948,0.74,1.16496749376108e-30,"4","Actb"
"Alox5ap",4.07240365784448e-33,0.816898716859835,0.546,0.175,9.54978657764531e-29,"4","Alox5ap"
"Cyba",1.41439795489255e-31,0.819084814500449,0.721,0.357,3.31676320422303e-27,"4","Cyba"
"Capg",1.90301063428826e-30,1.0210432428918,0.502,0.143,4.46255993740598e-26,"4","Capg"
"Fcer1g",1.60918291095343e-29,0.697238126503131,0.793,0.365,3.7735339261858e-25,"4","Fcer1g"
"Msrb1",8.6748316990296e-27,0.63877033574953,0.562,0.213,2.03424803342244e-22,"4","Msrb1"
"mt-Nd42",1.88846058624128e-25,0.583149836366248,0.834,0.528,4.42844007473581e-21,"4","mt-Nd4"
"mt-Nd12",2.86767426266166e-25,0.608019910921443,0.865,0.628,6.72469614594158e-21,"4","mt-Nd1"
"Psap",6.64680227317457e-24,0.567208559419975,0.686,0.315,1.55867513305944e-19,"4","Psap"
"Reep5",1.6522680281031e-23,0.827385889378898,0.59,0.287,3.87456852590178e-19,"4","Reep5"
"Txn1",1.9712453184266e-23,0.742853303531995,0.638,0.366,4.62257027171037e-19,"4","Txn1"
"Ucp2",5.02026324827053e-23,0.731337374882802,0.679,0.377,1.17725173171944e-18,"4","Ucp2"
"mt-Rnr1",1.83594469777585e-20,1.0106416939715,0.782,0.542,4.30529031628438e-16,"4","mt-Rnr1"
"Gpx12",4.43342184200969e-20,0.450261354798087,0.749,0.499,1.03963742195127e-15,"4","Gpx1"
"Fxyd5",5.33568446023351e-20,0.64864008143864,0.682,0.314,1.25121800592476e-15,"4","Fxyd5"
"mt-Cytb2",5.26534723509143e-19,0.412361075933958,0.822,0.559,1.23472392662894e-14,"4","mt-Cytb"
"mt-Co11",2.68282262915624e-18,0.638669830618427,0.691,0.494,6.29121906537138e-14,"4","mt-Co1"
"S100a10",5.47822372513968e-17,0.567207736410534,0.521,0.277,1.28464346354526e-12,"4","S100a10"
"Ctsc",6.416031933793e-17,0.510435988871318,0.526,0.326,1.50455948847446e-12,"4","Ctsc"
"Taldo1",2.3504408238633e-16,0.61319860089518,0.508,0.247,5.51178373195944e-12,"4","Taldo1"
"Gapdh",6.52738191287026e-15,0.572811891439737,0.606,0.376,1.53067105856808e-10,"4","Gapdh"
"Fos",5.1135894043989e-14,0.40302547677618,0.617,0.36,1.19913671533154e-09,"4","Fos"
"Prdx1",1.74817715477305e-13,0.51153324964511,0.607,0.426,4.0994754279428e-09,"4","Prdx1"
"Lgals1",5.00143962123473e-13,0.40233010519986,0.531,0.255,1.17283759117955e-08,"4","Lgals1"
"mt-Rnr2",7.33947419269842e-13,1.01647195196602,0.533,0.343,1.72110669818778e-08,"4","mt-Rnr2"
"Eif5a",3.06452360693313e-12,0.558258335063618,0.55,0.319,7.18630785825819e-08,"4","Eif5a"
"Ctsb",6.58522925565098e-12,0.29337328810405,0.583,0.389,1.54423626045016e-07,"4","Ctsb"
"Pfn1",2.44662576351161e-11,0.388326246802578,0.606,0.391,5.73733741543472e-07,"4","Pfn1"
"Anxa5",5.94224192347915e-11,0.339377375726473,0.51,0.304,1.39345573105586e-06,"4","Anxa5"
"Cox6b1",1.96628785113422e-09,0.456137697326441,0.606,0.428,4.61094501090975e-05,"4","Cox6b1"
"Akr1a1",2.06736646500437e-09,0.422785389533244,0.52,0.347,4.84797436043525e-05,"4","Akr1a1"
"Slc25a5",2.96798461962074e-09,0.366147673323977,0.661,0.527,6.95992393301063e-05,"4","Slc25a5"
"mt-Nd51",3.79675309442199e-09,0.296298767991462,0.754,0.603,8.90338600641957e-05,"4","mt-Nd5"
"Serf2",6.50774054957533e-08,0.368205060520712,0.511,0.347,0.00152606515887541,"4","Serf2"
"S100a111",1.28298210897114e-07,0.387399402967237,0.695,0.504,0.00300859304553732,"4","S100a11"
"Malat1",2.01453631958981e-07,0.634837985421869,0.635,0.497,0.00472408766943812,"4","Malat1"
"Arpc1b1",1.60548740395054e-06,0.263010291810425,0.661,0.478,0.0376486796226401,"4","Arpc1b"
"Rack1",2.97572809703797e-06,0.282514897502903,0.547,0.398,0.0697808238755403,"4","Rack1"
"Calm11",5.19888957105782e-05,0.266880177183905,0.572,0.451,1,"4","Calm1"
"Cfl11",6.51026270517347e-05,0.308093423798807,0.749,0.594,1,"4","Cfl1"
"Rps273",1.57804905354364e-102,1.45874348629897,0.939,0.599,3.70052503055983e-98,"6","Rps27"
"Rps292",9.14996293324423e-88,1.27665877424926,0.935,0.639,2.14566630784577e-83,"6","Rps29"
"Rps72",6.76609180959263e-84,1.11597679679223,0.935,0.64,1.58664852934947e-79,"6","Rps7"
"Rps242",3.06756607520671e-78,1.11001486368864,0.937,0.711,7.19344244635974e-74,"6","Rps24"
"Trbc2",6.95352066985442e-78,2.21599822030956,0.621,0.057,1.63060059708086e-73,"6","Trbc2"
"Rpl132",8.1930997726291e-77,1.18153961196085,0.921,0.613,1.92128189668152e-72,"6","Rpl13"
"Rps232",2.87568356819962e-74,1.05028178448393,0.933,0.673,6.74347796742812e-70,"6","Rps23"
"Rps182",1.01189511245134e-73,1.1634699207147,0.916,0.578,2.37289403869839e-69,"6","Rps18"
"Rps15a2",1.40216452443835e-68,0.998575231628201,0.947,0.753,3.28807580980793e-64,"6","Rps15a"
"Rpl322",6.01869498378526e-64,1.16436151394661,0.872,0.58,1.41138397369764e-59,"6","Rpl32"
